word,entry_type_code,region_code,source_code,note
anaesthetic,root,uk,oald_8,
anaesthetise,root,uk,oald_8,
anaesthetist,root,uk,oald_8,
analogue,root,uk,oald_8,
analyse,root,uk,mwcd_11,
analyser,root,uk,mw,
analyze,root,name,mwcd_11,
anapaest,root,uk,oald_8,
anapest,root,name,oald_8,
anatomise,root,uk,mwcd_11,
anemia,root,name,oald_8,
anemic,root,name,oald_8,
anesthesia,root,us,oald_8,
anesthetic,root,us,oald_8,
anesthetist,root,us,oald_8,
anesthetize,root,us,oald_8,
anglicise,root,uk,oald_8,
angrez,root,ind,oald_8,
animal control officer,phrase,name,oald_8,
animal control officers,phrase,name,oald_8,
ankle sock,phrase,uk,oald_8,
ankle socks,phrase,uk,oald_8,
anna,root,ind,oald_8,
annexe,root,uk,oald_8,
annualised,root,uk,oald_8,
anodise,root,uk,oald_8,
anonymise,root,uk,oald_8,
anorak,root,uk,oald_8,
anoxaemia,root,uk,mwcd_11,
answeringphone,root,uk,oald_8,
answerphone,root,uk,oald_8,
antagonise,root,uk,oald_8,
antenatal,root,uk,oald_8,
anthologise,root,uk,oald_8,
anti-choice,root,name,oald_8,
anticlockwise,root,uk,oald_8,
antiglobalisation,root,uk,oald_8,
antsy,root,name,oald_8,
any more,phrase,uk,ode_2,
any time,phrase,uk,oald_8,
anyplace,root,name,oald_8,
aotearoa,root,nz,oald_8,
apartment block,phrase,uk,oald_8,
apartment blocks,phrase,uk,oald_8,
apartment building,phrase,name,oald_8,
apartment buildings,phrase,name,oald_8,
apartment house,phrase,us,oald_8,
apartment houses,phrase,us,oald_8,
apb,root,name,oald_8,
aperitif,root,uk,oald_8,
apnea,root,name,oald_8,
apnoea,root,uk,oald_8,
apologise,root,uk,mwcd_11,
apophthegm,root,uk,mwcd_11,
apostatise,root,uk,mwcd_11,
apostrophise,root,uk,mwcd_11,
appa,root,ind,oald_8,
appal,root,uk,oald_8,
appall,root,name,oald_8,
appetiser,root,uk,oald_8,
appetising,root,uk,oald_8,
appitiser,root,uk,oald_8,
appitising,root,uk,oald_8,
appraiser,root,name,oald_8,
approved school,phrase,uk,oald_8,
approved schools,phrase,uk,oald_8,
arabise,root,uk,mwcd_11,
arbor,root,us,oald_8,
archeological,root,name,oald_8,
archeologist,root,name,oald_8,
archeology,root,name,oald_8,
ardor,root,us,oald_8,
are buddied up,phrase,us,opvd_2,
are light on,phrase,uk,oald_8,
are on about,phrase,uk,opvd_2,
are on at,phrase,uk,opvd_2,
are through with,phrase,us,opvd_2,
are wee,phrase,scot,ode_2,
argy-bargies,inflection,uk,oald_8,
armor,root,us,oald_8,
armor-plated,root,us,oald_8,
armored,root,us,oald_8,
armorer,root,us,oald_8,
armory,root,us,oald_8,
armour-plated,root,uk,oald_8,
armoured,root,uk,oald_8,
armourer,root,uk,oald_8,
armoury,root,uk,oald_8,
arse about,phrase,uk,opvd_2,
arse around,phrase,uk,opvd_2,
arse-licker,root,uk,oald_8,
arse-licking,root,uk,oald_8,
arsed about,phrase,uk,opvd_2,
arsed around,phrase,uk,opvd_2,
arsehole,root,uk,oald_8,
arses about,phrase,uk,opvd_2,
arses around,phrase,uk,opvd_2,
arsing about,phrase,uk,opvd_2,
arsing around,phrase,uk,opvd_2,
articulated,root,uk,oald_8,
articulated lorries,phrase,uk,oald_8,
articulated lorry,phrase,uk,oald_8,
artifact,root,name,oald_8,
artificial ventilation,phrase,uk,oald_8,
artsy,root,name,oald_8,
artsy-fartsy,root,name,oald_8,
arty,root,uk,oald_8,
arty-farty,root,uk,oald_8,
